| Item                  | Description                  | Quantity | Source/Link                     |
|-----------------------|------------------------------|----------|---------------------------------|
| Debonair Tent Poles   | 81in telscopic poles         | 1        | Local fablab or hardware store  |
| Laptop Motherboard    | Old laptop motherboard       | 1        | Recycled from old laptop        |
| Laptop Screen         | Compatible display panel     | 1        | Recycled from old laptop        |
| SSD Drive             | SATA SSD (any capacity)      | 1        | Local electronics store         |
